"player_id","age","gender","country","device","game_genre","session_count","avg_session_length","total_play_mins","spending_segment","in_app_purchase_amount","first_purchase_days_after_install","payment_method","last_purchase_date","is_purchaser","days_to_first_pay","is_outlier_age","data_version"
"000e84ef-a52d-4ccc-9725-d57c76b0ef50",15,"Male","IRAN","Android","Role Playing",9,7.13,64.17,"Minnow",1.15,20,"Gift Card","2025-03-08",True,20,False,"2026-05-27"
"001cfbcf-9cba-4fa0-a8fe-b379a494392b",47,"Male","INDIA","iOS","Fighting",8,6.78,54.24,"Minnow",11.86,21,"Credit Card","2025-03-13",True,21,False,"2026-05-27"
"002cbd67-b8cd-42e6-b3fc-158dcff56a3b",36,"Male","NETHERLANDS","iOS","Sports",13,10.93,142.09,"Minnow",6.95,13,"Credit Card","2025-07-31",True,13,False,"2026-05-27"
"00404a62-0a76-4e1f-9716-c2805ceccff4",28,"Male","NORWAY","iOS","Sandbox",11,23.26,255.86,"Minnow",18.39,29,"Paypal","2025-08-13",True,29,False,"2026-05-27"
"005b45d9-af21-46d7-9217-8f5c89a4b7f1",22,"Female","CANADA","iOS","MMORPG",14,23.4,327.60,"Minnow",19.05,16,"Carrier Billing","2025-05-11",True,16,False,"2026-05-27"
"0079a83f-b03c-4c0e-be39-142af64e5f7d",17,"Female","DENMARK","Android","Simulation",18,17.07,307.26,"Minnow",0.00,NULL,NULL,NULL,False,NULL,False,"2026-05-27"
"00a4e7f3-5e8b-44d6-b6c9-fd24c20d5af4",46,"Male","AFGHANISTAN","Android","Adventure",10,28.48,284.80,"Minnow",13.78,5,"Credit Card","2025-01-18",True,5,False,"2026-05-27"
"00ad7b7e-113c-4978-83e2-574dea9e3fb9",31,"Male","TURKEY","Android","MOBA",10,30.18,301.80,"Dolphin",64.16,25,"Gift Card","2025-04-28",True,25,False,"2026-05-27"
"00d32729-29d4-404d-9190-0f85ca076ad1",29,"Male","CHINA","iOS","Fighting",15,6.06,90.90,"Minnow",15.49,24,"Gift Card","2025-07-10",True,24,False,"2026-05-27"
"01055940-b929-4cf7-88c2-a3396d92836c",18,"Female","TURKEY","iOS","Role Playing",8,34.99,279.92,"Minnow",8.13,20,"Carrier Billing","2025-03-18",True,20,False,"2026-05-27"
"0105ffd7-dbf3-441a-95a8-da8d1b9306b1",29,"Male","SRI LANKA","Android","Sandbox",12,26.15,313.80,"Minnow",4.74,7,"Gift Card","2025-01-01",True,7,False,"2026-05-27"
"01178b24-c883-4f4c-9d75-64df3917e599",43,"Female","UK","iOS","Battle Royale",13,33.82,439.66,"Dolphin",129.25,27,"Paypal","2025-06-29",True,27,False,"2026-05-27"
"01240840-b18b-4af4-923b-50a29caa5b92",21,"Male","NETHERLANDS","iOS","Battle Royale",6,15.7,94.20,"Minnow",5.95,18,"Carrier Billing","2025-01-25",True,18,False,"2026-05-27"
"01271dd8-3c93-4969-ade5-f38b03e1d77e",44,"Male","DENMARK","Android","Role Playing",11,15.97,175.67,"Minnow",6.42,25,"Carrier Billing","2025-05-17",True,25,False,"2026-05-27"
"0157e735-09db-459e-826c-5fbf3c3e4f9e",52,"Male","SWITZERLAND","Android","Sandbox",17,20.29,344.93,"Minnow",2.73,3,"Carrier Billing","2025-08-10",True,3,False,"2026-05-27"
"015bec16-85b6-454b-8c9e-c5f05e7e81da",42,"Male","AUSTRALIA","Android","Card",12,32.92,395.04,"Minnow",0.57,28,"Google Pay","2025-05-25",True,28,False,"2026-05-27"
"01a45205-b009-43a1-851e-7f1fcf7b3fb6",14,"Male","TURKEY","Android","Battle Royale",13,21.45,278.85,"Minnow",6.45,17,"Apple Pay","2025-01-14",True,17,False,"2026-05-27"
"01baebd9-1718-4fc5-9df6-4b85776d3237",48,"Female","NORWAY","iOS","Racing",10,16.33,163.30,"Minnow",18.69,8,"Credit Card","2025-02-15",True,8,False,"2026-05-27"
"01bd645e-bff5-4906-8deb-153d988c6cd3",28,"Female","SPAIN","Android","Role Playing",10,13.78,137.80,"Dolphin",214.54,9,"Google Pay","2025-08-04",True,9,False,"2026-05-27"
"01cd0b42-2ad0-4985-b30a-dd9dcba511ab",41,"Male","INDIA","Android","Casual",7,15.3,107.10,"Minnow",19.13,16,"Credit Card","2025-02-23",True,16,False,"2026-05-27"
"01d51bcb-e2fb-46bc-922a-2d3bcf36d4a8",25,"Female","TURKEY","iOS","Strategy",9,12.46,112.14,"Dolphin",94.47,20,"Debit Card","2025-03-06",True,20,False,"2026-05-27"
"01d65d15-3030-46e5-9436-df69e0ec025f",15,"Female","SAUDI ARABIA","iOS","Sandbox",11,13.69,150.59,"Minnow",10.45,19,"Google Pay","2025-01-12",True,19,False,"2026-05-27"
"02009a42-eb4c-4583-8eeb-44d8b332e512",15,"Male","GERMANY","iOS","Puzzle",15,18.22,273.30,"Minnow",14.77,16,"Debit Card","2025-03-01",True,16,False,"2026-05-27"
"0202a126-e63e-4a78-9ca2-f4ffef1d1558",35,"Male","ITALY","Android","Strategy",9,17.62,158.58,"Minnow",11.86,15,"Paypal","2025-04-29",True,15,False,"2026-05-27"
"02402401-ade1-4394-896f-d25254836456",16,"Male","MEXICO","Android","Card",11,21.93,241.23,"Minnow",5.79,28,"Carrier Billing","2025-08-08",True,28,False,"2026-05-27"
"0248c4f5-cfd3-4dbd-ada3-93b2d2a83179",14,"Male","EGYPT","Android","Sandbox",7,16.56,115.92,"Minnow",19.53,2,"Gift Card","2025-02-05",True,2,False,"2026-05-27"
"025be2a8-1c2a-4152-a62c-13d2e727dc3e",17,"Male","TURKEY","iOS","MOBA",8,6.65,53.20,"Minnow",14.10,1,"Debit Card","2025-07-14",True,1,False,"2026-05-27"
"025c6e89-ff1d-4f2e-b55e-81b041e28b3b",34,"Male","CANADA","Android","Battle Royale",9,20.3,182.70,"Minnow",7.22,8,"Gift Card","2025-06-09",True,8,False,"2026-05-27"
"02afa2a5-35b5-498e-b6c5-96764e947393",47,"Male","JAPAN","iOS","Adventure",12,10.69,128.28,"Minnow",14.40,4,"Paypal","2025-02-22",True,4,False,"2026-05-27"
"02b3fbf1-f2d1-43d4-9296-701cdd732059",48,"Female","IRAN","Android","Adventure",15,31.56,473.40,"Minnow",7.19,13,"Google Pay","2025-01-29",True,13,False,"2026-05-27"
"02d04932-a2f6-4e5f-b61e-1c68e4b0c691",31,"Male","GERMANY",NULL,"Strategy",8,31.8,254.40,"Minnow",12.72,4,"Credit Card","2025-07-13",True,4,False,"2026-05-27"
"02d9f237-21cc-4c04-b6b8-5b221b84bd92",24,"Female","ITALY","iOS","Sports",7,31.92,223.44,"Minnow",18.29,20,"Paypal","2025-05-20",True,20,False,"2026-05-27"
"02f3f465-7c55-432f-999b-fe78565838d5",25,"Female","USA",NULL,"MMORPG",14,16.15,226.10,"Minnow",0.71,27,"Apple Pay","2025-04-09",True,27,False,"2026-05-27"
"030bf099-2381-4cd2-85ee-9cd7577bd7d0",50,"Male","GERMANY","Android","Sandbox",13,23.69,307.97,"Minnow",0.00,NULL,NULL,NULL,False,NULL,False,"2026-05-27"
"0314d60f-f392-456f-985f-fe63f77908b4",16,"Male","BANGLADESH","iOS","Card",5,33.58,167.90,"Minnow",16.64,11,"Gift Card","2025-07-24",True,11,False,"2026-05-27"
"031e53ad-9b07-48c5-9784-d6985d4f3160",54,"Male","SPAIN","Android","MOBA",15,9.68,145.20,"Dolphin",183.61,22,"Google Pay","2025-04-12",True,22,False,"2026-05-27"
"03227ae6-0b42-4b68-84d7-ec4034213528",18,"Male","MEXICO","Android","Sports",13,6.36,82.68,"Minnow",11.34,5,"Paypal","2025-02-10",True,5,False,"2026-05-27"
"0349515f-a3ae-4151-850f-5b11304fa19d",47,"Male","GERMANY","Android","Card",9,20.17,181.53,"Minnow",8.83,24,"Gift Card","2025-07-03",True,24,False,"2026-05-27"
"0359dde3-ee7f-43fb-89bb-13cd19fc87f6",52,"Female","DENMARK","iOS","Role Playing",10,25.07,250.70,"Minnow",3.99,0,"Debit Card","2025-07-08",True,0,False,"2026-05-27"
"0371a352-85f1-411e-9f13-f108a68fafc5",17,"Female","CHINA",NULL,"Simulation",11,26.16,287.76,"Minnow",8.91,20,"Apple Pay","2025-07-29",True,20,False,"2026-05-27"
